Links to Proxy Access Bylaws
(September 2017)
Company	Link
Colgate-Palmolive Company	http://www.sec.gov/Archives/edgar/data/21665/000093041316004954/c83669_8k.htm
JPMorgan Chase & Co.	http://www.sec.gov/Archives/edgar/data/19617/000001961716000721/exh31-jpmcbylawsjan2016.htm
U.S. Bancorp	http://www.sec.gov/Archives/edgar/data/36104/000119312516433061/d18278dex31.htm
Intercontinental Exchange, Inc.	http://www.sec.gov/Archives/edgar/data/1571949/000157104916015144/t1600313_ex3-1.htm
CVS Health Corporation 	http://www.sec.gov/Archives/edgar/data/64803/000006480316000070/exhibit32amendmenttoby-laws.htm
Intel Corporation 	http://www.sec.gov/Archives/edgar/data/50863/000005086316000102/exhibit3_2.htm
Alliance Data Systems Corporation 	http://www.sec.gov/Archives/edgar/data/1101215/000110121516000262/exhibit_3-1.htm
Apartment Investment and Management Company	http://www.sec.gov/Archives/edgar/data/922864/000092286416000067/a2016aimcoamendedandrest.htm
Brocade Communications Systems, Inc.	http://www.sec.gov/Archives/edgar/data/1009626/000100962616000170/brcd-8kx2016x01x29ex31.htm
Dana Holding Corporation 	http://www.sec.gov/Archives/edgar/data/26780/000119312516439879/d27809dex31.htm
Devon Energy Corporation	http://www.sec.gov/Archives/edgar/data/1090012/000119312516439838/d66884dex31.htm
Johnson & Johnson	http://www.sec.gov/Archives/edgar/data/200406/000020040616000069/exhibit31-byxlaws.htm
Praxair, Inc.	http://www.sec.gov/Archives/edgar/data/884905/000119312516443972/d85722dex302.htm
S&P Global Inc. (f/k/a McGraw Hill Financial, Inc.)	http://www.sec.gov/Archives/edgar/data/64040/000006404016000030/mhfibylaws.htm
Cognizant Technology Solutions Corp.	http://www.sec.gov/Archives/edgar/data/1058290/000105829016000043/exhibit33.htm
Huntington Ingalls Industries, Inc.	http://www.sec.gov/Archives/edgar/data/1501585/000119312516445822/d131600dex31.htm
Time Warner Inc.	http://www.sec.gov/Archives/edgar/data/1105705/000110570516000019/exhibit3-1.htm
Crown Holdings, Inc.	http://www.sec.gov/Archives/edgar/data/1219601/000121960116000043/ex3ii.htm
NiSource Inc.	http://www.sec.gov/Archives/edgar/data/1111711/000111171116000043/ni-201621x8k.htm
MGC Diagnostics Corporation 	https://www.sec.gov/Archives/edgar/data/815093/000089710116001846/mgc160437_ex3-2.htm
Science Applications International Corp. 	http://www.sec.gov/Archives/edgar/data/1571123/000156459016012265/saic-ex31_7.htm
Accenture plc	https://www.sec.gov/Archives/edgar/data/1467373/000146737316000685/exhibit31amendedandrestate.htm
Apache Corporation	https://www.sec.gov/Archives/edgar/data/6769/000119312516454837/d134524dex31.htm
Fidelity National Financial, Inc.	https://www.sec.gov/Archives/edgar/data/1331875/000133187516000086/exhibit31.htm
Murphy Oil Corporation 	https://www.sec.gov/Archives/edgar/data/717423/000071742316000057/mur-20160205ex32a8de093.htm
CMS Energy Corporation 	https://www.sec.gov/Archives/edgar/data/811156/000110465916094515/a16-3728_1ex3d1.htm
Fluor Corporation	https://www.sec.gov/Archives/edgar/data/1124198/000110465916094906/a16-3762_1ex3d2.htm
Celanese Corporation 	https://www.sec.gov/Archives/edgar/data/1306830/000130683016000221/ex32-8k20160203.htm
International Paper Company	http://www.sec.gov/Archives/edgar/data/51434/000119312516456636/d133664dex31.htm
UnitedHealth Group Incorporated	http://www.sec.gov/Archives/edgar/data/731766/000073176616000060/unh8-k292016ex31.htm
BorgWarner, Inc.	https://www.sec.gov/Archives/edgar/data/908255/000090825516000119/a160726bwabylawsfinal1.htm
Sonoco Products Company	http://www.sec.gov/Archives/edgar/data/91767/000009176716000112/q12016ex3-2.htm
Stericycle, Inc.	https://www.sec.gov/Archives/edgar/data/861878/000119312516467170/d142051dex3ii1.htm
CBL & Associates Properties, Inc.	http://www.sec.gov/Archives/edgar/data/910612/000091061216000094/exhibit34-cbl_3rdxamendedx.htm
Dover Corporation 	http://www.sec.gov/Archives/edgar/data/29905/000002990516000061/a20160210exhibit3ii.htm
Newell Brands Inc. (f/k/a Newell Rubbermaid Inc.)	http://www.sec.gov/Archives/edgar/data/814453/000081445316000166/nwlby-lawsasamendedfebruar.htm
American Tower Corporation	http://www.sec.gov/Archives/edgar/data/1053507/000105350716000012/d242742d8k.htm
Bristol-Myers Squibb Company	http://www.sec.gov/Archives/edgar/data/14272/000156761916001834/s001197x1_ex3-1.htm
The Children’s Place, Inc.	https://www.sec.gov/Archives/edgar/data/1041859/000114420416082889/v432054_ex99-2.htm
Newmont Mining Corporation	http://www.sec.gov/Archives/edgar/data/1164727/000155837016003258/nem-20151231ex322991a86.htm
Amgen Inc.	http://www.sec.gov/Archives/edgar/data/318154/000119312516466178/d46204dex31.htm
Reliance Steel & Aluminum Co.	http://www.sec.gov/Archives/edgar/data/861884/000110465916098028/a16-4720_1ex3d1.htm
PG&E Corporation	http://www.sec.gov/Archives/edgar/data/75488/000114036116054058/ex3_1.htm
Xcel Energy Inc.	http://www.sec.gov/Archives/edgar/data/72903/000007290316000120/xcelex301.htm
AbbVie Inc.	https://www.sec.gov/Archives/edgar/data/1551152/000110465916098835/a16-4763_1ex3d1.htm
Anthem, Inc.	https://www.sec.gov/Archives/edgar/data/1156039/000119312516473630/d142613dex32.htm
